#UID,filename,consideredRecs,unconsideredRecs,avgDxDt,stdevDxDt,avgDyDt,stdevDyDt,dtMax,DxDtMax,DyDtMax,MinX,MinY,MaxX,MaxY,AreaX,AreaY,AreaDiagonal
#Num,538,,,,,,,,,,,,,,,,
29,new_aggjuo.txt,3001,0,257.5638366,684.4331529,300.3427634,1713.96127,42479,17232.25717,86895.99451,37.5571,-122.50893,37.82443,-122.19004,38906.40989,29759.03947,35498.67242
28,new_agdrea.txt,3001,0,429.7784153,1223.987307,389.4384705,1497.358678,35298,37179.40028,61110.47152,37.40593,-122.50606,37.85883,-122.09174,53412.83579,50416.59738,46121.89143
30,new_agivle.txt,3001,0,339.6866886,802.3772316,335.6162599,717.5419821,16740,24712.92696,26649.8861,37.30107,-122.51121,37.86189,-122.00057,65888.95091,62430.19683,56844.18478
31,new_agjitfa.txt,3001,0,270.5489301,518.1959514,275.3830899,736.3728312,23927,11198.74077,23310.30137,37.6148,-122.51376,37.97661,-122.23222,38043.39693,40276.50496,31340.88944
33,new_agvexpia.txt,3001,0,457.6311337,701.6450028,378.143695,559.5267325,7947,12680.88028,8015.003337,37.48217,-122.51439,37.90143,-122.06299,56094.29246,46671.80971,50249.61814
32,new_agsuec.txt,3001,0,275.3166477,494.3691006,259.7900467,415.5991482,24362,8816.503671,8616.128587,37.56611,-122.53448,37.99905,-122.26732,39387.47862,48194.66034,29740.11516
34,new_agyamker.txt,3001,0,564.3311598,3771.583436,406.1880425,3044.117931,36559,167758.4726,161346.47,37.33345,-122.50967,37.87681,-122.05945,59628.46649,60486.55852,50118.26114
38,new_ainplin.txt,3001,0,251.9912198,1133.100835,231.2092862,327.9877028,13241,50427.72933,5744.085725,37.61347,-122.51112,37.82516,-122.19025,37879.48157,23565.22301,35719.08501
36,new_ailbcuv.txt,3001,0,322.4555776,539.299815,317.9510585,561.2764768,46501,10820.25451,18835.25784,37.36013,-122.51377,37.8896,-122.00319,64962.27226,58940.33079,56837.50561
35,new_aichash.txt,3001,0,393.9773087,724.1282532,324.4913044,492.0530638,50643,20772.21698,11221.00467,37.54759,-122.48448,37.88747,-122.18786,38727.8058,37835.26853,33019.58736
37,new_aimidd.txt,3001,0,350.9736773,559.756978,345.4435794,497.864087,22415,7480.669781,7191.239105,37.38464,-122.5171,37.89809,-122.00516,64641.22653,57156.99255,56988.90012
39,new_aitpygg.txt,3001,0,238.3519392,1882.246781,227.9153997,835.8483284,40729,99519.62477,36000.72332,37.61373,-122.50734,37.8086,-122.38475,17935.46962,21692.82917,13646.65638
40,new_aivtytan.txt,3001,0,299.1277495,583.9185657,276.4796813,781.5282667,13845,10152.33756,38138.05755,37.56623,-122.49248,37.85661,-122.32314,25602.40637,32324.95374,18850.84257
42,new_ajixdo.txt,3001,0,275.3981517,721.248259,294.8646919,884.6346322,13105,25848.38576,32327.18013,37.61427,-122.5075,37.84959,-122.19664,37336.12835,26195.70257,34604.77691
41,new_aiwalb.txt,3001,0,327.3590979,663.2153602,295.8358383,1327.627905,28813,19025.08687,67812.65323,37.53871,-122.49929,37.80848,-122.25376,31711.875,30030.65903,27332.27457
43,new_ajsips.txt,3001,0,210.0850737,354.7419584,236.5583456,399.829055,12644,3113.07376,8453.920187,37.61429,-122.54179,37.99824,-122.38455,28856.52419,42741.11849,17503.87673
44,new_ajsnedsi.txt,3001,0,388.9255843,609.9995406,341.6529218,672.0856111,13520,11154.21298,28052.51168,37.34931,-122.49421,37.82535,-122.08814,53336.3752,52992.5304,45203.50563
46,new_ajtreo.txt,3001,0,431.5319412,1736.449514,458.0368913,3116.288234,16289,79114.76211,154489.1893,37.24447,-122.5067,37.84166,-122.00732,65948.1052,66478.88671,55590.72731
45,new_ajthof.txt,3001,0,363.1148875,2125.161146,270.445533,943.5740942,22052,82420.95098,43514.78895,37.61388,-122.51632,37.88005,-122.29346,29455.01166,29629.90886,24808.66172
47,new_akgicjud.txt,3001,0,205.325783,326.312446,250.0352372,337.128961,23321,2260.641967,8539.795222,37.36407,-122.50891,37.80817,-122.07041,55499.397,49436.98586,48813.59671
48,new_akvutvo.txt,3001,0,321.2492091,582.1850064,290.2973838,412.7093488,15481,15729.44405,5460.221023,37.55525,-122.50536,37.95596,-122.09527,51498.99079,44606.83316,45651.00998
52,new_alsheth.txt,3001,0,315.3339037,878.3639694,351.539446,1582.786622,16913,27006.10847,48179.07562,37.61346,-122.50956,37.91159,-122.22888,35943.68199,33187.67979,31245.15468
51,new_alnihi.txt,3001,0,268.5209746,604.0400304,243.8253853,593.7981516,12914,19436.38309,26583.0944,37.61362,-122.49219,37.80853,-122.38422,16730.43814,21697.28195,12019.16542
49,new_akyeerbi.txt,3001,0,312.9862024,552.2524,271.1275348,502.4979796,45989,8816.503671,11287.79637,37.45495,-122.495,37.96452,-122.15576,48437.06824,56725.07292,37764.02406
50,new_aldhidd.txt,3001,0,211.4230491,373.8572755,240.0817339,1034.514677,35269,4341.460141,40408.97516,37.48848,-122.4902,37.80839,-122.20318,37200.92676,35612.2183,31950.92025
53,new_amciuca.txt,3001,0,271.6104474,452.8122065,300.6528699,487.8762936,21590,6478.794364,11020.62959,37.35445,-122.50908,37.83071,-122.01346,62006.30665,53017.02069,55172.16603
54,new_amknywr.txt,3001,0,329.5497914,1346.04441,385.2877478,2463.307971,35249,46487.01936,96068.72055,37.43753,-122.51091,37.8344,-122.1253,48994.67601,44179.36631,42925.90884
55,new_amnurgji.txt,3001,0,192.1566807,340.1586649,243.1524194,1008.414798,24577,5499.182845,52431.48016,37.61419,-122.5099,37.85764,-122.18938,38514.28993,27100.73003,35680.12319
56,new_amvefarl.txt,3001,0,321.244797,1760.155039,278.1573756,542.921909,31643,92038.95499,17299.04887,37.58472,-122.51686,37.90248,-122.25343,34912.66313,35372.88139,29324.89346
57,new_amwibs.txt,3001,0,257.2705382,849.5575477,287.7475687,693.8460504,8234,37403.34891,26716.67779,37.55416,-122.51378,37.86841,-122.12156,47498.37909,34982.14998,43661.73068
58,new_ancedvab.txt,3001,0,288.1277889,976.2940616,330.1301846,1578.02707,53782,41076.8921,72402.19681,37.43749,-122.51378,37.83598,-122.12641,49213.43315,44359.70389,43121.83115
59,new_ancorjo.txt,3001,0,421.0522645,1113.177552,358.4691596,670.5772216,35511,40742.93363,17436.21038,37.43915,-122.50802,37.97127,-122.18784,47695.70266,59235.32744,35642.27456
60,new_ancyclsu.txt,3001,0,329.5893883,762.4865281,369.7465313,1985.748725,24278,30857.76285,104796.1686,37.32003,-122.50185,37.8396,-122.02445,61461.07566,57838.26783,53143.9249
61,new_andyol.txt,3001,0,461.1746993,6241.460856,374.8437487,1905.594167,27718,337298.0571,93307.99718,37.38212,-122.51379,37.82557,-122.02861,60097.74879,49364.62819,54009.99054
63,new_anidgib.txt,3001,0,334.7871023,550.6025608,315.7244451,436.7532322,32935,7046.523767,5643.898183,37.40424,-122.50861,37.82552,-122.05158,56706.72963,46896.67508,50876.34688
