$RECS_NUM=788,,
24.249542,271743,5216044
72.748627,271620,16217883
121.247711,271585,1880997
169.746796,271720,14448528
218.24588,271745,1421513
266.744965,271666,5565039
315.244049,271697,2922383
363.743134,271770,5041892
412.242218,271603,12359232
460.741302,271684,2063907
509.240387,271798,23289861
557.739502,271404,25292313
581.989014,271404,25292313
606.238525,271404,25292313
606.238525,271406,3311938
630.488037,271404,25292313
630.488037,271406,3311938
654.737549,271406,3311938
654.737671,271632,9093320
678.987061,271406,3311938
703.236694,271524,15183996
751.73584,271506,3649347
800.234863,271681,1058391
848.734009,271456,19728153
872.983521,271456,19728153
897.233032,271555,2361723
945.732178,271539,3585294
994.231201,271730,24281923
1042.730347,271804,14810116
1091.22937,271582,1779896
1139.728516,271765,3194711
1188.227539,271727,2768104
1236.726562,271633,24860696
1285.225708,271744,23986241
1333.724854,271563,15018528
1382.223877,271664,3685219
1430.7229,271610,8411891
1479.222046,271621,24641089
1527.721191,271518,10336172
1576.220215,271475,2180783
1624.719238,271773,3014701
1673.218384,271647,710178
1721.717529,271767,23244469
1770.216553,271759,18244170
1818.715576,271674,2980703
1867.214722,271631,4538259
1915.713867,271717,11359730
1964.212891,271751,21289772
2012.711914,271784,24886247
2061.211182,271609,24334437
2109.710205,271583,5537219
2158.209229,271740,3414063
2206.708252,271463,16154334
2230.957764,271463,16154334
2255.20752,271492,1165731
2303.706543,271398,5637851
2327.956055,271398,5637851
2352.205566,271398,5637851
2352.205566,271547,14306535
2376.455078,271398,5637851
2400.70459,271398,5637851
2400.70459,271510,2372097
2449.203613,271755,15726242
2497.702881,271705,20342654
2546.201904,271482,7508845
2594.700928,271715,23697253
2643.200195,271388,1375289
2667.449707,271388,1375289
2691.699219,271388,1375289
2691.699219,271450,24692874
2715.94873,271388,1375289
2715.94873,271450,24692874
2740.198242,271388,1375289
2740.198242,271503,5492496
2764.447754,271388,1375289
2788.697266,271388,1375289
2788.697266,271497,12303901
2837.196289,271670,15453604
2885.695557,271680,13997589
2934.19458,271446,3118646
2958.444092,271446,3118646
2982.693604,271400,6189653
3006.943115,271400,6189653
3031.192627,271400,6189653
3031.192871,271420,24606284
3055.442139,271400,6189653
3055.442383,271420,24606284
3079.69165,271400,6189653
3079.691895,271420,24606284
3079.691895,271490,5042951
3103.941406,271420,24606284
3128.190918,271791,251279
3176.689941,271713,15383413
3225.188965,271581,3603709
3273.688232,271485,6666175
3322.187256,271472,5012629
3346.436768,271472,5012629
3370.686279,271499,9351509
3419.185547,271384,25254033
3443.435059,271384,25254033
3467.68457,271384,25254033
3467.68457,271577,2243272
3491.934082,271384,25254033
3516.183594,271384,25254033
3516.183594,271397,2624147
3540.433105,271384,25254033
3540.433105,271397,2624147
