#TIME,UID,dx/dt,dy/dt
#TU=60
1,1,0.0,-70.0
2,2,50.0,-70.0
3,4,-10.0,-190.0
4,4,0.0,-110.0
5,5,0.0,-130.0
6,5,0.0,-70.0
7,6,-90.0,50.0
8,6,-80.0,50.0
9,7,30.0,-160.0
10,7,20.0,-90.0
11,7,20.0,-80.0
12,7,10.0,-50.0
13,7,90.0,0.0
14,7,90.0,0.0
15,10,-20.0,-200.0
16,10,0.0,-110.0
17,10,0.0,-110.0
18,11,-20.0,-170.0
19,11,-10.0,-100.0
20,11,-10.0,-90.0
21,11,-80.0,-10.0
22,11,-100.0,0.0
23,12,0.0,-120.0
24,13,70.0,-70.0
25,13,50.0,-40.0
26,13,40.0,-40.0
27,14,-170.0,40.0
28,14,-90.0,20.0
29,14,-100.0,20.0
30,14,-50.0,20.0
31,14,0.0,90.0
32,14,-10.0,100.0
33,14,0.0,90.0
34,14,0.0,100.0
35,15,-110.0,120.0
36,16,-10.0,-190.0
37,16,0.0,-100.0
38,18,-140.0,-60.0
39,19,10.0,-150.0
40,19,10.0,-80.0
41,20,120.0,0.0
42,21,-140.0,110.0
43,21,-80.0,70.0
44,22,0.0,-150.0
45,22,0.0,-80.0
46,22,0.0,-80.0
47,22,0.0,-80.0
48,25,0.0,-130.0
49,26,80.0,-20.0
50,26,70.0,-30.0
51,27,-140.0,110.0
52,28,-40.0,0.0
53,28,-30.0,10.0
54,28,-40.0,10.0
55,28,-40.0,10.0
56,28,-40.0,0.0
57,28,-40.0,0.0
58,28,-40.0,0.0
59,29,-20.0,-100.0
60,29,-10.0,-60.0
61,29,-10.0,-50.0
62,29,-10.0,-50.0
63,29,-10.0,-50.0
64,30,0.0,70.0
65,30,0.0,80.0
66,30,0.0,80.0
67,30,0.0,80.0
68,30,0.0,70.0
69,31,-100.0,-60.0
70,32,40.0,50.0
71,32,40.0,60.0
72,32,30.0,40.0
73,32,30.0,50.0
74,32,30.0,60.0
75,32,10.0,60.0
76,32,20.0,50.0
77,33,10.0,-150.0
78,35,0.0,-120.0
79,35,0.0,-70.0
80,36,-30.0,-170.0
81,36,-10.0,-90.0
82,36,-10.0,-50.0
83,37,-130.0,0.0
84,37,-80.0,0.0
85,37,-80.0,0.0
86,38,130.0,-110.0
87,38,70.0,-60.0
88,38,60.0,-50.0
89,39,130.0,0.0
90,39,70.0,0.0
91,39,70.0,0.0
92,39,70.0,0.0
93,39,70.0,0.0
94,39,70.0,0.0
95,39,70.0,0.0
96,39,30.0,-50.0
97,39,-20.0,-60.0
98,40,-140.0,10.0
99,40,-70.0,0.0
100,41,70.0,-60.0
101,41,70.0,-60.0
102,42,100.0,80.0
103,42,60.0,40.0
104,42,50.0,50.0
105,43,-30.0,140.0
106,44,0.0,90.0
107,44,0.0,100.0
108,44,0.0,100.0
109,46,0.0,-120.0
110,47,0.0,-170.0
111,48,-110.0,150.0
112,48,-60.0,80.0
113,49,0.0,-130.0
114,49,0.0,-70.0
115,49,0.0,-70.0
116,50,-90.0,110.0
117,50,-50.0,50.0
118,50,-50.0,70.0
119,51,110.0,-150.0
120,51,60.0,-90.0
121,52,60.0,-70.0
122,53,-130.0,80.0
123,54,0.0,-150.0
124,55,0.0,80.0
125,55,0.0,90.0
126,55,0.0,90.0
127,55,0.0,90.0
128,56,-70.0,-50.0
129,57,90.0,140.0
130,58,-90.0,0.0
131,58,-80.0,0.0
132,58,-80.0,0.0
133,59,90.0,-80.0
134,59,80.0,-60.0
135,62,10.0,-90.0
136,63,80.0,-50.0
137,63,80.0,-50.0
138,63,90.0,-20.0
139,64,0.0,-100.0
140,65,150.0,120.0
141,65,80.0,60.0
142,65,70.0,50.0
143,66,0.0,190.0
144,67,0.0,-120.0
145,67,0.0,-70.0
146,67,0.0,-60.0
147,69,160.0,0.0
148,70,0.0,80.0
149,70,-10.0,80.0
150,71,-180.0,0.0
151,72,-80.0,-60.0
152,73,0.0,-100.0
153,73,0.0,-60.0
154,74,-80.0,70.0
155,75,130.0,10.0
156,75,80.0,0.0
157,75,80.0,0.0
158,76,0.0,-200.0
159,76,0.0,-110.0
160,76,0.0,-120.0
161,77,90.0,80.0
162,77,50.0,50.0
163,79,-60.0,-50.0
164,79,-70.0,-60.0
165,80,-150.0,100.0
166,81,-10.0,50.0
167,81,-10.0,60.0
168,81,-10.0,60.0
169,82,-10.0,120.0
170,81,-10.0,50.0
171,82,-10.0,110.0
172,82,0.0,120.0
173,83,-120.0,100.0
174,84,140.0,-10.0
175,85,-60.0,-30.0
176,85,-60.0,-30.0
177,85,-50.0,-20.0
178,85,-70.0,-10.0
179,85,-70.0,0.0
180,85,-70.0,0.0
181,85,-70.0,0.0
182,85,-70.0,0.0
183,85,-70.0,0.0
184,86,100.0,0.0
185,87,170.0,0.0
186,89,160.0,120.0
187,91,60.0,-70.0
188,91,70.0,-90.0
189,91,20.0,-100.0
190,91,0.0,-120.0
191,91,0.0,-100.0
192,93,-20.0,110.0
193,94,-50.0,-90.0
194,95,0.0,-150.0
195,96,0.0,120.0
196,96,0.0,60.0
197,98,-10.0,140.0
198,98,-10.0,80.0
199,98,-10.0,70.0
200,98,0.0,80.0
201,98,-10.0,70.0
202,99,50.0,80.0
203,99,50.0,70.0
204,99,40.0,90.0
205,99,30.0,90.0
206,99,30.0,100.0
207,101,0.0,-110.0
208,102,0.0,80.0
209,102,10.0,80.0
210,102,0.0,90.0
211,102,0.0,80.0
212,102,0.0,40.0
213,104,160.0,0.0
214,104,80.0,0.0
215,104,90.0,0.0
216,105,100.0,130.0
217,105,50.0,80.0
218,105,60.0,60.0
219,105,30.0,90.0
220,105,20.0,90.0
221,106,0.0,160.0
222,107,0.0,-160.0
223,108,0.0,60.0
224,109,-10.0,-140.0
225,109,0.0,-80.0
226,110,70.0,-50.0
227,110,60.0,-50.0
228,111,-20.0,130.0
229,112,70.0,-50.0
230,113,100.0,-50.0
231,114,0.0,-140.0
232,114,0.0,-70.0
233,114,0.0,-70.0
234,114,0.0,-70.0
235,115,50.0,80.0
236,115,50.0,80.0
237,115,30.0,80.0
238,115,30.0,90.0
239,116,120.0,0.0
240,116,70.0,0.0
241,116,70.0,0.0
