#TIME,UID,dx/dt,dy/dt
#TU=60,,,
1,1,60,-60
2,1,60,-60
3,1,50,-50
4,3,70,-40
5,3,70,-60
6,5,0,210
7,5,0,120
8,7,-60,50
9,9,-90,-90
10,10,-20,70
11,10,-10,60
12,10,-20,70
13,10,-10,70
14,10,-10,70
15,10,-10,40
16,10,-70,0
17,10,-70,0
18,11,20,150
19,12,0,80
20,13,30,130
21,13,20,70
22,13,20,70
23,13,10,70
24,14,-10,-190
25,16,80,-50
26,18,0,-150
27,21,-140,-110
28,22,60,0
29,22,50,0
30,22,50,0
31,23,-30,20
32,23,-40,30
33,23,-40,30
34,24,0,-110
35,25,10,-90
36,25,0,-40
37,27,0,-80
38,30,0,-70
39,30,0,-40
40,31,-60,-50
41,32,0,-110
42,32,0,-60
43,33,60,-70
44,35,100,-110
45,36,-10,-130
46,38,-80,50
47,40,-90,80
48,40,-60,40
49,41,-40,-20
50,41,-50,-30
51,42,-10,-140
52,44,-10,80
53,45,0,-110
54,46,-20,110
55,47,10,60
56,47,50,50
57,50,150,-130
58,50,60,-50
59,51,0,-170
60,52,-10,-100
61,53,-10,60
62,55,-60,70
63,55,-40,30
64,55,-40,30
65,56,-10,80
66,59,20,-140
67,59,20,-80
68,59,10,-70
69,59,0,-50
70,59,70,0
71,60,-20,210
72,61,30,-130
73,60,0,70
74,61,20,-80
75,63,20,-130
76,65,0,-100
77,65,0,-110
78,65,0,-50
79,65,100,-10
80,66,-10,80
81,67,30,-140
82,67,20,-80
83,67,20,-80
84,68,20,-100
85,69,70,-70
86,69,60,-70
87,70,0,-150
88,72,60,40
89,73,-70,80
90,73,-40,40
91,74,50,50
92,77,0,-150
93,77,0,-90
94,78,0,-110
95,80,110,0
96,81,130,-130
97,83,-20,110
98,83,-10,100
99,85,-200,40
100,86,0,-60
101,86,0,-70
102,86,0,-60
103,87,0,-110
104,87,0,-110
105,89,-130,130
106,89,-70,60
107,90,-60,70
108,90,-30,50
109,91,0,120
110,93,0,-220
111,95,-140,120
112,97,-10,90
113,97,-20,100
114,99,120,0
115,99,70,0
116,100,0,190
117,101,-10,-170
118,102,0,90
119,104,0,-140
120,105,-130,-80
121,105,-60,-50
122,106,-10,-80
123,107,-220,0
124,108,-10,-60
125,110,-20,-210
126,110,0,-120
127,111,100,0
128,111,110,0
129,112,-10,-110
130,114,0,-60
131,116,0,-140
132,117,-110,90
133,117,-60,60
134,119,0,-150
135,119,0,-90
136,121,60,80
137,122,90,-50
138,124,190,-110
139,126,0,70
140,128,0,-140
141,128,0,-80
142,129,50,50
143,131,-150,-20
144,131,-90,0
145,132,0,-60
146,136,90,20
147,139,90,0
148,140,20,-80
149,143,120,-80
150,144,10,-120
151,145,-40,40
152,146,0,100
153,148,-110,-10
154,148,-50,-10
155,149,-150,-10
156,151,170,10
157,151,100,0
158,152,130,20
159,152,80,0
160,152,70,0
161,152,80,0
162,154,-110,60
163,154,-60,30
164,156,-100,-100
165,159,50,80
166,160,0,100
167,160,0,110
168,160,0,110
169,161,0,-90
170,162,-20,-120
171,163,90,120
172,163,50,60
173,163,50,60
174,164,-20,120
175,166,-50,0
176,166,-60,0
177,167,140,-90
178,169,0,-60
179,171,90,130
180,171,70,70
181,173,10,-40
182,175,-100,-30
183,176,-130,70
184,176,-60,40
185,177,70,70
186,178,160,20
187,179,0,-40
188,182,-140,-90
189,182,-70,-40
190,182,-20,-80
191,183,0,160
192,183,0,90
193,186,90,-40
194,188,-30,-110
195,189,110,0
196,190,-50,-30
197,192,20,-80
198,195,140,90
199,195,80,40
200,196,10,-70
201,199,-140,10
202,200,20,-120
203,201,-40,-140
204,201,-20,-80
205,201,-20,-70
206,203,-20,190
207,203,-10,100
208,204,0,70
209,205,0,150
210,205,0,90
211,208,0,50
212,211,120,0
213,212,-10,90
214,213,90,0
215,214,0,120
216,215,-90,100
217,215,-40,50
218,215,-40,50
219,217,90,-110
220,217,60,-60
221,219,100,-70
222,220,160,140
223,221,0,-40
224,222,80,60
225,224,10,160
226,225,60,0
227,226,160,-20
228,227,-130,-10
229,227,-80,0
230,227,-80,0
231,227,-80,0
232,227,-70,-10
233,227,-80,0
234,228,-120,150
235,229,-10,60
236,230,20,-180
237,230,0,-110
238,232,0,-70
239,232,0,-60
240,232,0,-70
241,233,70,0
242,235,120,-110
243,236,-180,0
244,238,0,70
245,238,0,70
246,238,0,70
247,239,0,-30
248,241,0,-150
249,241,0,-80
250,245,0,-60
251,245,0,-50
252,248,170,-120
253,249,50,0
254,249,50,0
255,250,0,-90
256,250,0,-50
257,250,0,-60
258,252,-140,130
259,255,0,-40
260,255,-10,-50
261,256,120,100
262,258,40,-60
263,258,50,-60
264,260,0,120
265,260,0,70
266,261,-120,-90
267,262,0,-130
268,262,0,-70
269,263,80,50
270,263,40,40
271,264,80,0
272,264,80,0
273,264,80,0
274,265,0,-80
275,266,0,-120
276,267,0,-140
277,268,-50,-80
278,268,-60,-70
279,270,-20,-110
280,272,70,70
281,272,70,70
282,272,50,50
283,275,-80,-70
284,279,0,-170
285,280,-30,-130
286,282,0,-70
287,284,130,-70
288,286,120,80
289,287,-70,0
290,290,-100,-50
291,292,-130,-20
292,294,0,-100
293,294,0,-90
294,297,100,60
295,298,40,30
296,300,-160,10
297,301,100,-70
298,302,0,-100
299,302,0,-90
300,303,90,-60
301,305,-10,90
302,305,-10,90
303,309,-150,30
304,309,-100,20
305,310,-140,140
306,310,-90,50
307,312,100,-60
308,313,-10,-80
309,315,100,-60
310,315,50,-20
311,316,-140,100
312,316,-70,50
313,316,-60,40
314,317,-30,-170
315,319,130,10
316,319,70,0
317,319,80,0
318,321,0,130
319,321,0,80
320,321,0,70
321,323,-200,30
322,327,-40,50
323,327,-50,50
324,327,-40,50
325,329,-40,-60
326,330,-150,-10
327,331,10,100
328,333,-50,40
329,334,0,-180
330,336,20,-140
331,336,-10,-80
332,338,10,-170
333,339,110,130
334,339,60,70
335,339,60,60
336,340,100,0
337,340,50,0
338,340,50,10
339,341,160,0
340,343,0,-80
341,344,100,40
342,345,-200,-10
343,345,-100,0
344,346,-10,-150
345,346,-10,-90
346,346,-10,-40
347,349,-30,-100
348,351,-170,120
349,352,-80,-40
350,355,-10,-150
351,356,0,-200
352,358,-10,70
353,359,-80,70
354,362,40,-200
355,362,10,-100
356,363,0,-80
357,364,60,100
358,364,30,60
359,364,40,60
360,365,-40,-190
361,365,-20,-110
362,366,0,-210
363,366,0,-120
364,366,0,-110
365,366,0,-120
366,366,0,-120
367,367,-40,-60
368,367,-50,-60
369,367,-40,-50
370,368,-10,-90
371,371,10,80
372,372,-10,-170
373,373,60,-30
374,374,-10,-50
375,377,-10,140
376,377,0,80
377,378,-180,120
378,378,-100,60
379,378,-110,30
380,379,30,-170
381,380,80,-80
382,383,20,80
383,384,30,-210
384,385,20,-130
385,387,-50,-30
386,388,20,-220
387,390,-80,60
388,392,80,80
389,393,0,170
390,393,0,100
391,394,0,90
392,394,0,110
393,395,-130,-90
394,396,0,-90
395,397,-180,110
396,398,-20,100
397,399,50,-60
398,400,0,-140
399,400,0,-80
400,401,0,-90
401,402,-10,-210
402,402,0,-120
403,402,0,-110
404,405,-170,10
405,405,-100,0
406,406,-90,0
407,409,-160,-140
408,412,-30,-120
409,413,0,60
410,413,10,70
411,414,-110,60
412,415,-10,-110
413,416,0,-120
414,416,0,-60
415,417,0,110
416,418,-70,-60
417,419,100,0
418,419,50,0
419,420,-150,0
420,420,-80,0
421,420,-70,0
422,423,80,-80
423,424,0,-70
424,426,90,0
425,428,-20,-140
426,432,0,-120
427,433,-60,20
428,433,-70,10
429,433,-60,0
430,434,-10,70
431,435,90,-120
432,435,50,-70
433,435,40,-50
434,438,120,-50
435,439,10,-90
436,441,0,-90
437,441,0,-100
438,443,-20,-150
439,444,-50,40
440,444,-60,30
441,446,170,0
442,446,90,0
443,446,90,0
444,446,90,0
445,447,0,-90
446,448,0,-190
447,449,-90,-130
448,449,-70,-50
449,449,-100,-20
450,450,0,170
451,452,-40,-30
452,453,0,-150
453,454,-90,60
454,457,70,0
455,457,70,0
456,460,60,-210
457,462,0,50
458,463,0,90
459,464,10,90
460,464,0,70
461,464,0,70
462,466,130,100
463,466,70,60
464,467,110,0
465,468,110,0
466,469,-50,0
467,471,100,-80
468,471,50,-50
469,472,-80,-60
470,472,-80,-40
471,474,0,200
472,474,0,120
473,478,-160,0
474,480,-110,110
475,480,-70,60
476,482,20,-170
477,485,0,-160
478,486,10,-60
479,487,10,-140
480,489,150,0
481,489,70,0
482,489,80,0
483,489,90,0
484,490,-80,-10
485,492,-120,-110
486,492,-60,-50
487,492,-90,-20
488,493,-90,-180
489,493,-60,-70
490,494,-20,-90
491,494,0,-90
492,497,10,-160
493,499,-70,50
494,502,-110,120
495,502,-60,60
496,502,-60,60
497,504,-30,210
498,505,-100,-80
499,505,-60,-50
500,507,120,120
501,508,30,-130
502,509,10,60
503,509,10,60
504,510,-160,-90
505,512,-70,60
506,512,-80,70
507,512,-50,50
508,513,-60,-30
509,514,-120,140
510,515,130,-120
511,516,-20,-100
512,519,60,-200
513,520,160,-80
514,522,0,100
515,523,180,0
516,525,-30,-190
517,525,0,-110
518,526,140,120
519,528,-10,170
520,528,0,90
521,528,0,90
522,529,0,-140
523,531,60,-60
524,532,40,-160
525,534,0,-160
526,535,0,-80
527,537,-10,160
528,539,-30,-120
529,540,10,-40
530,542,0,-180
531,542,0,-110
532,542,-30,-90
533,543,120,130
534,545,-30,-120
535,545,-10,-60
536,546,-20,-170
537,546,0,-90
538,546,-10,-50
539,549,0,-210
540,549,0,-120
541,551,-70,-70
542,551,-70,-60
543,552,110,-80
544,552,70,-40
545,554,-10,180
546,555,20,-140
547,557,20,110
548,557,20,120
549,558,-30,180
550,561,0,-80
551,563,0,160
552,563,0,90
553,563,0,90
554,564,10,-120
555,566,0,-160
556,570,-10,-70
557,571,-20,-100
558,573,20,90
559,574,-70,-10
560,574,-80,-10
561,577,30,-130
562,577,20,-70
563,577,10,-70
564,579,-100,20
565,579,-50,10
566,580,10,-150
567,581,70,100
568,585,-90,0
569,586,0,-70
570,587,0,-200
571,588,-60,-50
572,590,-10,-170
573,590,20,-90
574,590,10,-70
575,591,-30,-160
576,591,0,-90
577,592,-60,-80
578,593,120,0
579,594,0,-120
580,595,70,20
581,597,180,10
582,598,0,-200
583,599,-10,-40
584,599,-10,-50
585,601,10,-100
586,603,-50,20
587,605,190,0
588,606,-100,130
589,606,-50,70
590,608,120,10
591,608,70,0
592,609,-100,0
593,611,110,100
594,611,70,60
595,614,0,90
596,614,0,90
597,615,80,110
598,616,-20,80
